"","des","id","type","tfs","tfs_zulu","x","sv_id","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","url","inning_side.x","inning","next_.x","num","on_1b","on_2b","on_3b","count","remove","away","home","event_num.x","play_guid.x","code","pitcher","batter","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","event","score","home_team_runs","away_team_runs","event2","event3","batter_name","pitcher_name","event4","end_tfs_zulu","team_name","tmax","tmin","tdmean","tmean","heat_index","rh","y","m","d"
"1","Called Strike",24,"S","001455","2017-04-25T00:14:55Z",98.97,"170425_001456",89.5,82.8,3.45,1.58,-5.35659734524088,6.31719851902267,0.52185457683615,1.91993201009914,-2.46889237636622,50,5.69333746213894,9.49804009907667,-129.715571043106,-5.58902011050352,-9.25037422303729,23.6882590205062,-21.2648002825995,23.9,18.9,5.5,"FF",2,9,64,220.295,1599.712,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",4,NA,NA,NA,"0-0","","min","tex","24","695542eb-3bf6-406a-93c7-ba6f543961cd","C",461833,460576,0,1,1,"001419","2017-04-25T00:14:19Z","R","6-3","R","Carlos Gomez flies out sharply to center fielder Byron Buxton.  ","Flyout",NA,"0","0",NA,NA,"Carlos Gomez","Phil Hughes",NA,"2017-04-25T00:15:27Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"2","In play, out(s)",25,"X","001508","2017-04-25T00:15:08Z",135.72,"170425_001509",82.4,75,3.45,1.58,-7.10662088419312,3.68918374903472,-0.491020173946262,2.38693536058971,-2.59513607524931,50,5.98502719717639,7.11326164819287,-119.342079952732,-2.73813252578008,-10.1899069091747,24.2081772272657,-26.8842716587886,23.8,17.9,8.2,"CH",2,4,35,242.565,1395.699,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",4,NA,NA,NA,"0-1","","min","tex","25","585677c7-5ab2-49aa-8edb-75a238d7143e","X",461833,460576,0,1,1,"001419","2017-04-25T00:14:19Z","R","6-3","R","Carlos Gomez flies out sharply to center fielder Byron Buxton.  ","Flyout",NA,"0","0",NA,NA,"Carlos Gomez","Phil Hughes",NA,"2017-04-25T00:15:27Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"3","Ball",29,"B","001552","2017-04-25T00:15:52Z",84.99,"170425_001552",78.4,72.3,3.15,1.49,2.3393721621086,-5.80731602106833,0.844489363524838,1.64994071318838,-2.62199074497223,50,6.02068665157408,7.08774253854317,-113.645386264562,-0.926693552146364,3.05077760417083,21.3778793088901,-39.7473752568083,23.9,-5.9,12.5,"KC",2,14,89,21.94,1042.302,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",5,NA,NA,NA,"0-0","","min","tex","29","657f57cb-0a10-4267-84d4-9952bffec80b","B",461833,425783,4,1,1,"001528","2017-04-25T00:15:28Z","L","5-11","R","Shin-Soo Choo walks.  ","Walk",NA,"0","0",NA,NA,"Shin-Soo Choo","Phil Hughes",NA,"2017-04-25T00:17:03Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"4","Called Strike",30,"S","001605","2017-04-25T00:16:05Z",116.22,"170425_001606",91,83.4,3.15,1.49,-8.68026644499651,9.15646606775073,0.0438220849097633,1.66093003793703,-2.48621052051118,50,5.79012225571018,9.5331903364968,-131.72484548096,-7.68794453989124,-15.3245481775752,26.7232425477443,-16.0087953028899,23.8,37.5,5.1,"FF",2,8,33,223.47,2453.259,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",5,NA,NA,NA,"1-0","","min","tex","30","08cbc49e-e817-49f0-861d-3a9aeb76fbd0","C",461833,425783,4,1,1,"001528","2017-04-25T00:15:28Z","L","5-11","R","Shin-Soo Choo walks.  ","Walk",NA,"0","0",NA,NA,"Shin-Soo Choo","Phil Hughes",NA,"2017-04-25T00:17:03Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"5","Ball",31,"B","001620","2017-04-25T00:16:20Z",58.2,"170425_001620",90.9,83.4,3.15,1.49,-9.7898670047875,8.73897270148658,1.53568605552593,2.26165139610734,-2.45004201003561,50,5.73663864054671,13.6842583404945,-131.303101581471,-5.81685555676035,-17.2442395391726,25.4667850263501,-16.7808937242932,23.8,39.3,5.3,"FT",2,14,26,228.245,2554.021,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",5,NA,NA,NA,"1-1","","min","tex","31","155754ab-4992-4ebe-bb6b-dc89cca2444a","B",461833,425783,4,1,1,"001528","2017-04-25T00:15:28Z","L","5-11","R","Shin-Soo Choo walks.  ","Walk",NA,"0","0",NA,NA,"Shin-Soo Choo","Phil Hughes",NA,"2017-04-25T00:17:03Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"6","Ball",32,"B","001637","2017-04-25T00:16:37Z",96.3,"170425_001637",83.4,77.3,3.15,1.49,-10.1503479001758,5.65100953232528,0.560639064497661,1.14423429988491,-2.52605823399587,50,5.68735738973485,10.5626586895963,-120.71921712992,-5.93545681942093,-15.1742499092757,20.6257914227287,-23.7260789177033,23.9,28.7,7.6,"CH",2,14,54,240.893,2087.179,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",5,NA,NA,NA,"2-1","","min","tex","32","ab860852-2f2b-4135-a08b-e5fc9958ff76","B",461833,425783,4,1,1,"001528","2017-04-25T00:15:28Z","L","5-11","R","Shin-Soo Choo walks.  ","Walk",NA,"0","0",NA,NA,"Shin-Soo Choo","Phil Hughes",NA,"2017-04-25T00:17:03Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"7","Ball",33,"B","001657","2017-04-25T00:16:57Z",75.35,"170425_001658",89.3,83.1,3.15,1.49,-5.09253000437543,4.11016200124032,1.13326074890962,2.11298408794381,-2.64012284385336,50.0000000000001,5.49744603734676,11.4344382921595,-129.495688255597,-3.85982700680154,-8.8148106424821,22.1326894619899,-25.0596477144658,23.9,15.2,6.2,"FT",2,14,60,231.092,1269.07,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",5,NA,NA,NA,"3-1","","min","tex","33","91f0f663-1a41-4a25-b297-f725253c43b1","B",461833,425783,4,1,1,"001528","2017-04-25T00:15:28Z","L","5-11","R","Shin-Soo Choo walks.  ","Walk",NA,"0","0",NA,NA,"Shin-Soo Choo","Phil Hughes",NA,"2017-04-25T00:17:03Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"8","Ball",37,"B","001743","2017-04-25T00:17:43Z",104.8,"170425_001744",82.7,76.3,3.4,1.65,-11.9982931131866,3.44589972411174,0.371904371224883,1.4322502503521,-2.60933633403223,50.0000000000001,5.87866667562846,10.759405656661,-119.572866288354,-4.80387326493068,-17.5164706561934,21.2479608622405,-27.1433328677755,23.9,29.4,8.9,"CH",2,14,71,253.976,2211.192,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"0-0","","min","tex","37","c023aafb-ccdb-4c43-a42c-dd08537eb50e","B",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"9","Ball",38,"B","001808","2017-04-25T00:18:08Z",70.9,"170425_001808",89.2,83.3,3.4,1.65,-4.7146679242053,5.16957172018194,1.22655690480817,1.50949360951429,-2.86021283356218,50.0000000000001,5.49974724154879,12.1051964393316,-129.27781902664,-5.76154508634511,-8.14935595382701,21.5492554920379,-23.2383863308238,23.9,14.6,5.8,"FF",2,14,68,222.364,1357.178,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"1-0","","min","tex","38","400e0f5f-61e0-4065-96a3-70b6c0d20867","B",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"10","Ball",39,"B","001833","2017-04-25T00:18:33Z",93.93,"170425_001833",90.9,84,3.4,1.65,-7.90824745140925,6.78929730668002,0.616965578884095,1.40149309586136,-2.73369626007975,49.9999999999999,5.58275456091095,11.4439252933041,-131.655077064405,-7.07629588130994,-14.054280574256,24.6667342734491,-20.1083298448696,23.9,29.3,5.6,"FT",2,14,65,229.353,2041.16,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"2-0","","min","tex","39","f9d08d40-b677-4173-beaf-8b09e2cfc4fe","B",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
